longitude,latitude,point_id,distance_to_building_m,distance_to_park_m,distance_to_library_m,distance_to_parking_m,distance_to_footway_m,distance_to_grass_m,distance_to_fitness_centre_m,distance_to_wood_m,distance_to_wetland_m
-84.38944401,33.76943792,755,130.2707334,524.7005525,723.9592621,144.1992485,148.0619778,149.298883,139.0483077,1316.611234,1494.548292
-84.39053651,33.76901026,756,29.09502543,468.8782003,693.6800834,34.78349278,49.38739642,49.97654279,106.8080694,1305.648321,1486.509709
-84.3899971,33.76899885,757,78.95309957,508.5860141,725.4527698,84.65612732,97.90119014,98.84730216,129.4864979,1339.206121,1511.037953
-84.39052284,33.76946075,758,30.3138461,438.9586946,654.9333453,61.94206135,48.06387227,49.64692551,60.14027744,1270.75961,1442.783918
-84.39160168,33.76948357,759,11.49431075,360.6366612,594.7758909,53.1904393,1.969963356,0,62.68745658,1200.13002,1396.272277
-84.39106226,33.76947216,760,1.952482018,398.5872157,623.5767985,51.69582549,0.519073644,7.210329119,52.35195602,1234.937661,1418.837853
-84.38998343,33.76944934,761,80.29228977,481.1420816,688.4964416,99.07129308,98.06244203,99.38571784,94.73986711,1294.034807,1468.04292
-84.38996976,33.76989983,762,78.64179363,457.5321536,653.278638,113.4598412,99.53287424,114.4295424,78.64179363,1249.231414,1425.50494
-84.38943034,33.76988842,763,128.6208426,503.1387867,690.552418,158.0650358,149.19002,159.7085592,128.6208426,1272.602918,1452.786604
-84.3910486,33.76992266,764,0.731113821,369.742799,584.4601376,60.29619545,11.5396178,40.05127849,2.367985948,1200.076445,1374.778226
-84.39050918,33.76991125,765,28.73573135,412.9439484,617.8052408,75.90596558,50.55614746,75.37517153,28.73573135,1227.452673,1399.478386
-84.38622122,33.76891888,766,427.1128829,818.7493532,990.9133987,434.5045911,446.7698958,447.9762598,440.770098,1515.457465,1713.898479
-84.38728636,33.76939223,767,330.1845081,707.5044439,880.042991,338.6836752,348.0458492,349.0512821,332.8206569,1418.373515,1611.662979
-84.38620753,33.76936938,768,430.1413955,801.9903194,964.1861814,437.7935999,447.6907072,448.9274817,431.8416012,1474.659487,1676.092562
-84.38674695,33.76938081,769,380.1629518,754.5697484,921.7186823,388.1815735,397.8460019,398.9893819,382.2674183,1445.926006,1643.432967
-84.38673326,33.7698313,770,378.5990866,739.7387878,895.7181242,397.8822969,394.5984765,403.2001269,378.5990866,1404.888354,1605.524898
-84.38727268,33.76984273,771,328.6007896,691.6650252,852.77271,349.7599463,348.305991,353.7762551,328.6007896,1376.514693,1572.989459
-84.38619385,33.76981987,772,428.597781,788.0523087,939.3618159,446.4175448,441.699957,452.750534,428.597781,1434.4441,1638.940072
-84.38725899,33.77029322,773,329.9580912,679.1454012,827.6272854,346.267204,331.3789537,365.2043783,329.9580912,1335.216078,1534.970397
-84.38618016,33.77027036,774,429.7871262,777.0871317,916.5949214,446.2329173,428.4784704,461.7354712,429.7871262,1394.861696,1602.486456
-84.38671958,33.77028179,775,379.8613667,728.0463193,871.8122429,396.2478978,379.7405763,413.2637676,379.8613667,1364.448813,1568.294768
-84.38836519,33.76941508,776,230.2276208,614.765487,799.5600913,240.3123541,248.0616107,249.1750825,234.6316491,1366.122836,1551.008974
-84.38835151,33.76986558,777,228.6064305,596.4684174,769.4426349,253.3917826,248.916452,255.6017044,228.6064305,1323.36695,1510.783611
