"Plot Title:  10884524"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10884524, SEN S/N: 10884524)","RH, % (LGR S/N: 10884524, SEN S/N: 10884524)","DewPt, °F (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Detached (LGR S/N: 10884524, SEN S/N: 10884524)","Bad Battery (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Attached (LGR S/N: 10884524, SEN S/N: 10884524)","Stopped (LGR S/N: 10884524, SEN S/N: 10884524)","End Of File (LGR S/N: 10884524, SEN S/N: 10884524)"
394,02/25/19,13:30:00,69.858,49.781,50.850,,,,,
395,02/25/19,13:40:00,67.199,35.466,39.535,,,,,
396,02/25/19,13:50:00,66.686,33.136,37.319,,,,,
397,02/25/19,14:00:00,66.857,29.296,34.281,,,,,
398,02/25/19,14:10:00,67.329,26.972,32.553,,,,,
399,02/25/19,14:20:00,66.214,28.532,33.048,,,,,
400,02/25/19,14:30:00,67.798,30.439,36.088,,,,,
401,02/25/19,14:40:00,69.085,30.467,37.227,,,,,
402,02/25/19,14:50:00,69.942,30.373,37.890,,,,,
403,02/25/19,15:00:00,70.502,30.132,38.165,,,,,
404,02/25/19,15:10:00,69.942,29.369,37.011,,,,,
405,02/25/19,15:20:00,70.072,31.314,38.800,,,,,
